Suburb,Median House Price,SUBURB
Bayswater,754100,BAYSWATER
Bayswater North,717500,BAYSWATER NORTH
Bellfield,795000,BELLFIELD
Blackburn,1206500,BLACKBURN
Blackburn North,1081000,BLACKBURN NORTH
Blackburn South,1050000,BLACKBURN SOUTH
Boronia,728000,BORONIA
Box Hill,1201000,BOX HILL
Briar Hill,800000,BRIAR HILL
Bulleen,1182000,BULLEEN
Burwood East,1060000,BURWOOD EAST
Croydon,748000,CROYDON
Croydon Hills,910000,CROYDON HILLS
Croydon North,800000,CROYDON NORTH
Croydon South,800000,CROYDON SOUTH
Doncaster,1290000,DONCASTER
Doncaster East,1200000,DONCASTER EAST
Donvale,1075000,DONVALE
Eaglemont,1745000,EAGLEMONT
Eltham,885000,ELTHAM
Eltham North,895000,ELTHAM NORTH
Ferntree Gully,744444,FERNTREE GULLY
Forest Hill,961500,FOREST HILL
Glen Waverley,1249000,GLEN WAVERLEY
Heathmont,885500,HEATHMONT
Heidelberg,855500,HEIDELBERG
Heidelberg Heights,747500,HEIDELBERG HEIGHTS
Heidelberg West,655000,HEIDELBERG WEST
Ivanhoe,1150000,IVANHOE
Ivanhoe East,1777500,IVANHOE EAST
Kilsyth,757500,KILSYTH
Kilsyth South,1085000,KILSYTH SOUTH
Knoxfield,820000,KNOXFIELD
Lower Plenty,817500,LOWER PLENTY
Mitcham,945500,MITCHAM
Mont Albert,1431000,MONT ALBERT
Montmorency,831500,MONTMORENCY
Mount Waverley,1260000,MOUNT WAVERLEY
North Warrandyte,1050000,NORTH WARRANDYTE
Nunawading,997500,NUNAWADING
Park Orchards,1360000,PARK ORCHARDS
Research,880000,RESEARCH
Ringwood,800000,RINGWOOD
Ringwood East,846000,RINGWOOD EAST
Ringwood North,900000,RINGWOOD NORTH
Rosanna,1000000,ROSANNA
Scoresby,834400,SCORESBY
St Helena,872500,ST HELENA
Templestowe,1330000,TEMPLESTOWE
Templestowe Lower,1150000,TEMPLESTOWE LOWER
The Basin,635000,THE BASIN
Vermont,932500,VERMONT
Vermont South,1146000,VERMONT SOUTH
Viewbank,950000,VIEWBANK
Wantirna,917500,WANTIRNA
Wantirna South,1000000,WANTIRNA SOUTH
Warrandyte,1050000,WARRANDYTE
Warrandyte South,1380000,WARRANDYTE SOUTH
Warranwood,805000,WARRANWOOD
Abbotsford,1021250,ABBOTSFORD
Alphington,1480000,ALPHINGTON
Attwood,720000,ATTWOOD
Broadmeadows,530000,BROADMEADOWS
Brunswick,970000,BRUNSWICK
Brunswick East,910000,BRUNSWICK EAST
Brunswick West,745000,BRUNSWICK WEST
Bundoora,715000,BUNDOORA
Burnley,1222005,BURNLEY
Campbellfield,520000,CAMPBELLFIELD
Carlton,949250,CARLTON
Carlton North,1445000,CARLTON NORTH
Clifton Hill,1250000,CLIFTON HILL
Coburg,900000,COBURG
Coburg North,800500,COBURG NORTH
Collingwood,900000,COLLINGWOOD
Coolaroo,460000,COOLAROO
Craigieburn,536500,CRAIGIEBURN
Cremorne,1200000,CREMORNE
Dallas,480000,DALLAS
East Melbourne,1000000,EAST MELBOURNE
Epping,560000,EPPING
Fairfield,1050000,FAIRFIELD
Fawkner,670000,FAWKNER
Fitzroy,1105500,FITZROY
Fitzroy North,1310000,FITZROY NORTH
Flemington,852000,FLEMINGTON
Glenroy,646500,GLENROY
Greensborough,770000,GREENSBOROUGH
Greenvale,705000,GREENVALE
Hadfield,725000,HADFIELD
Jacana,531500,JACANA
Kalkallo,566000,KALKALLO
Kensington,841000,KENSINGTON
Kingsbury,702500,KINGSBURY
Lalor,620000,LALOR
MacLeod,760000,MACLEOD
Meadow Heights,474000,MEADOW HEIGHTS
Melbourne,648000,MELBOURNE
Mernda,580058,MERNDA
Mickleham,650250,MICKLEHAM
Mill Park,636000,MILL PARK
North Melbourne,755000,NORTH MELBOURNE
Northcote,1200000,NORTHCOTE
Oak Park,780000,OAK PARK
Oaklands Junction,882500,OAKLANDS JUNCTION
Parkville,1190000,PARKVILLE
Pascoe Vale,750000,PASCOE VALE
Preston,870000,PRESTON
Princes Hill,1575000,PRINCES HILL
Reservoir,690000,RESERVOIR
Richmond,1043750,RICHMOND
Roxburgh Park,515000,ROXBURGH PARK
South Morang,616000,SOUTH MORANG
Thomastown,600000,THOMASTOWN
Thornbury,932500,THORNBURY
Watsonia,782500,WATSONIA
Watsonia North,748500,WATSONIA NORTH
West Melbourne,890000,WEST MELBOURNE
Westmeadows,569000,WESTMEADOWS
Wollert,585000,WOLLERT
Yallambie,781000,YALLAMBIE
Aspendale,984000,ASPENDALE
Aspendale Gardens,875000,ASPENDALE GARDENS
Bonbeach,809750,BONBEACH
Botanic Ridge,750000,BOTANIC RIDGE
Carrum,743000,CARRUM
Carrum Downs,527500,CARRUM DOWNS
Chelsea,800000,CHELSEA
Chelsea Heights,716000,CHELSEA HEIGHTS
Clarinda,793000,CLARINDA
Clayton,962000,CLAYTON
Clayton South,760000,CLAYTON SOUTH
Cranbourne,545000,CRANBOURNE
Cranbourne East,560500,CRANBOURNE EAST
Cranbourne North,572500,CRANBOURNE NORTH
Cranbourne South,937500,CRANBOURNE SOUTH
Cranbourne West,517250,CRANBOURNE WEST
Dandenong,559000,DANDENONG
Dandenong North,621000,DANDENONG NORTH
Dingley Village,854000,DINGLEY VILLAGE
Doveton,469000,DOVETON
Edithvale,872000,EDITHVALE
Endeavour Hills,635000,ENDEAVOUR HILLS
Eumemmerring,555000,EUMEMMERRING
Frankston,605000,FRANKSTON
Frankston South,820000,FRANKSTON SOUTH
Hallam,631000,HALLAM
Hampton Park,514000,HAMPTON PARK
Heatherton,757500,HEATHERTON
Keysborough,760000,KEYSBOROUGH
Lynbrook,620000,LYNBROOK
Lyndhurst,677250,LYNDHURST
Lysterfield,730000,LYSTERFIELD
Mentone,870000,MENTONE
Mordialloc,870000,MORDIALLOC
Mulgrave,854000,MULGRAVE
Narre Warren,600000,NARRE WARREN
Noble Park,631000,NOBLE PARK
Oakleigh South,980750,OAKLEIGH SOUTH
Parkdale,1053000,PARKDALE
Patterson Lakes,695000,PATTERSON LAKES
Rowville,883000,ROWVILLE
Sandhurst,642500,SANDHURST
Seaford,640000,SEAFORD
Skye,535000,SKYE
Springvale,747500,SPRINGVALE
Springvale South,710000,SPRINGVALE SOUTH
Waterways,950000,WATERWAYS
Wheelers Hill,1130500,WHEELERS HILL
Albert Park,1900000,ALBERT PARK
Armadale,1200000,ARMADALE
Ashburton,1605500,ASHBURTON
Ashwood,1200000,ASHWOOD
Balaclava,645500,BALACLAVA
Balwyn,1800000,BALWYN
Balwyn North,1670000,BALWYN NORTH
Beaumaris,1500000,BEAUMARIS
Bentleigh,1300000,BENTLEIGH
Bentleigh East,1160000,BENTLEIGH EAST
Black Rock,1525000,BLACK ROCK
Brighton,1850000,BRIGHTON
Brighton East,1652500,BRIGHTON EAST
Burwood,1239000,BURWOOD
Camberwell,1800000,CAMBERWELL
Canterbury,2100000,CANTERBURY
Carnegie,795000,CARNEGIE
Caulfield,650000,CAULFIELD
Caulfield East,999000,CAULFIELD EAST
Caulfield North,650000,CAULFIELD NORTH
Caulfield South,1300000,CAULFIELD SOUTH
Chadstone,946000,CHADSTONE
Cheltenham,950000,CHELTENHAM
Deepdene,2361000,DEEPDENE
Docklands,625000,DOCKLANDS
Elsternwick,1125000,ELSTERNWICK
Elwood,722000,ELWOOD
Gardenvale,787500,GARDENVALE
Glen Huntly,609000,GLEN HUNTLY
Glen Iris,1520000,GLEN IRIS
Hampton,1530000,HAMPTON
Hampton East,1150000,HAMPTON EAST
Hawthorn,731000,HAWTHORN
Hawthorn East,1317500,HAWTHORN EAST
Highett,1088000,HIGHETT
Hughesdale,1040000,HUGHESDALE
Huntingdale,951500,HUNTINGDALE
Kew,1500000,KEW
Kew East,1750000,KEW EAST
Kooyong,1755000,KOOYONG
Malvern,2000000,MALVERN
Malvern East,1430000,MALVERN EAST
McKinnon,1400000,MCKINNON
Middle Park,1880000,MIDDLE PARK
Moorabbin,1035000,MOORABBIN
Murrumbeena,1140000,MURRUMBEENA
Notting Hill,878000,NOTTING HILL
Oakleigh,1029000,OAKLEIGH
Oakleigh East,920000,OAKLEIGH EAST
Ormond,981000,ORMOND
Port Melbourne,1200000,PORT MELBOURNE
Prahran,1015000,PRAHRAN
Ripponlea,657500,RIPPONLEA
Sandringham,1582500,SANDRINGHAM
South Melbourne,1200000,SOUTH MELBOURNE
South Yarra,802000,SOUTH YARRA
Southbank,595000,SOUTHBANK
St Kilda,600000,ST KILDA
Surrey Hills,1555000,SURREY HILLS
Toorak,1230000,TOORAK
Windsor,882500,WINDSOR
Aberfeldie,1350000,ABERFELDIE
Airport West,751500,AIRPORT WEST
Albanvale,504500,ALBANVALE
Albion,623000,ALBION
Altona,850000,ALTONA
Altona Meadows,620000,ALTONA MEADOWS
Altona North,781000,ALTONA NORTH
Ardeer,607000,ARDEER
Ascot Vale,1005000,ASCOT VALE
Avondale Heights,815000,AVONDALE HEIGHTS
Braybrook,700000,BRAYBROOK
Brooklyn,659000,BROOKLYN
Bulla,1380000,BULLA
Burnside,638750,BURNSIDE
Burnside Heights,616000,BURNSIDE HEIGHTS
Cairnlea,679000,CAIRNLEA
Caroline Springs,591750,CAROLINE SPRINGS
Deer Park,567000,DEER PARK
Delahey,559000,DELAHEY
Derrimut,727500,DERRIMUT
Diggers Rest,460000,DIGGERS REST
Essendon,1000000,ESSENDON
Essendon North,710000,ESSENDON NORTH
Essendon West,1121000,ESSENDON WEST
Footscray,748500,FOOTSCRAY
Gladstone Park,620000,GLADSTONE PARK
Gowanbrae,720000,GOWANBRAE
Hillside,640500,HILLSIDE
Hoppers Crossing,540000,HOPPERS CROSSING
Kealba,590000,KEALBA
Keilor,765000,KEILOR
Keilor Downs,650250,KEILOR DOWNS
Keilor East,809000,KEILOR EAST
Keilor Lodge,670000,KEILOR LODGE
Keilor Park,682500,KEILOR PARK
Kings Park,503000,KINGS PARK
Kingsville,945000,KINGSVILLE
Laverton,532500,LAVERTON
Maidstone,695000,MAIDSTONE
Manor Lakes,530000,MANOR LAKES
Maribyrnong,805000,MARIBYRNONG
Moonee Ponds,1105500,MOONEE PONDS
Newport,951500,NEWPORT
Niddrie,950000,NIDDRIE
Plumpton,547000,PLUMPTON
Point Cook,655000,POINT COOK
Rockbank,615000,ROCKBANK
Seabrook,625000,SEABROOK
Seaholme,1097500,SEAHOLME
Seddon,965000,SEDDON
South Kingsville,827500,SOUTH KINGSVILLE
Spotswood,965000,SPOTSWOOD
St Albans,610000,ST ALBANS
Strathmore,1200000,STRATHMORE
Strathmore Heights,860000,STRATHMORE HEIGHTS
Sunbury,518250,SUNBURY
Sunshine,725000,SUNSHINE
Sunshine North,660000,SUNSHINE NORTH
Sunshine West,630000,SUNSHINE WEST
Sydenham,569000,SYDENHAM
Tarneit,527500,TARNEIT
Taylors Hill,691000,TAYLORS HILL
Taylors Lakes,715000,TAYLORS LAKES
Travancore,972000,TRAVANCORE
Truganina,548750,TRUGANINA
Tullamarine,600000,TULLAMARINE
Werribee,498000,WERRIBEE
Werribee South,497500,WERRIBEE SOUTH
West Footscray,805000,WEST FOOTSCRAY
Wildwood,1030000,WILDWOOD
Williams Landing,633750,WILLIAMS LANDING
Williamstown,1266000,WILLIAMSTOWN
Williamstown North,881000,WILLIAMSTOWN NORTH
Wyndham Vale,465000,WYNDHAM VALE
Yarraville,936000,YARRAVILLE
